Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Abilene,01/01/2015,29.8,20.9,25.6,12.8,,0.07,0,0,14.6,160.13,,6.8,100,89.74,"Rain, Overcast"
Abilene,01/02/2015,32.1,29.7,30.8,22.7,,0.42,0,0,7.9,168.29,,5.3,95.9,89.22,"Rain, Overcast"
Abilene,01/03/2015,52.6,32.9,40.4,24.6,,0.03,0,0,22.4,236.25,31.5,9.4,40.5,74.4,"Rain, Partially cloudy"
Abilene,01/04/2015,37.4,26,31.5,12.3,,0,0,0,22,261.75,32.7,9.9,10.8,65.85,Clear
Abilene,01/05/2015,51.2,21.5,36.5,14.2,,0,0,0,19.3,174.38,32.2,9.9,0,62.61,Clear
Abilene,01/06/2015,55.1,34.9,43.5,28.9,,0,0,0,13.7,301.63,,9.9,0,66.97,Clear
Abilene,01/07/2015,34.4,20.8,29,9.4,,0,0,0,28.9,95.67,39.7,9.6,12.8,63.17,Clear
Abilene,01/08/2015,37.7,15.7,27,5.9,,0,0,0,17.4,219.29,25.3,9.9,1.1,49.29,Clear
Abilene,01/09/2015,35.5,29.7,31.8,17.5,,0,0,0,18.7,43.29,25.3,9.9,76.3,51.66,Overcast
Abilene,01/10/2015,35.3,30,32,22.5,,0.01,0,0,15,156,23,9.9,85.4,57.89,"Rain, Overcast"
Abilene,01/11/2015,55.7,33,42.5,25.1,,0,0,0,14.6,187.38,19.7,9.9,40.4,75.25,Partially cloudy
Abilene,01/12/2015,44.9,30,35.7,19.1,,0.01,0,0,17.5,62.83,25.3,6.9,79,87.21,"Rain, Overcast"
Abilene,01/13/2015,37.2,29,31.7,19.7,,0,0,0,13.1,73.04,18.3,9.9,84.6,61.78,Overcast
Abilene,01/14/2015,34.8,30,32.6,23.4,,0,0,0,6.9,206.5,,9.5,99.9,76.24,Overcast
Abilene,01/15/2015,55.9,31.8,41.7,27.1,,0,0,0,11.1,294.21,19.7,9.3,33.6,68.33,Partially cloudy
Abilene,01/16/2015,65.3,29.9,46,25.1,,0,0,0,14.3,205.92,21.9,9.9,0,55.39,Clear
Abilene,01/17/2015,68.2,41.6,52.6,36.2,,0,0,0,28.8,177.83,39.4,9.9,0,45.85,Clear
Abilene,01/18/2015,70.1,31.2,50.3,25,,0,0,0,18.6,207.38,27.5,9.9,0,43.41,Clear
Abilene,01/19/2015,69.9,42.7,54.9,39.6,,0,0,0,15.9,225.63,25.3,9.9,0,39.98,Clear
Abilene,01/20/2015,67.6,37.3,52,32.3,,0,0,0,16.8,171.75,24.1,9.9,4.6,48.47,Clear
Abilene,01/21/2015,47.7,33.7,41.9,29.2,,0.6,0,0,13.9,127.25,20.8,9,62.3,78.65,"Rain, Partially cloudy"
Abilene,01/22/2015,43.9,34.7,37.3,25.1,,0.4,0,0,18.7,43.96,29.9,8,99.7,95.68,"Rain, Overcast"
Abilene,01/23/2015,46.6,34.9,39,27.6,,0.01,0,0,13.9,294.88,19.7,9.7,57.1,77.32,"Rain, Partially cloudy"
Abilene,01/24/2015,57.5,32.9,42.7,25.8,,0,0,0,10.6,268.33,26.4,9.9,0,64.97,Clear
Abilene,01/25/2015,62.7,39.5,49.8,33.2,,0,0,0,19.2,279.17,25.3,9.9,0,51.32,Clear
Abilene,01/26/2015,72.3,34.2,54,28.4,,0,0,0,13.7,218.54,25.3,9.9,0,47.4,Clear
Abilene,01/27/2015,78,39.6,58,37.5,,0,0,0,9.5,203.08,,9.9,0,48.07,Clear
Abilene,01/28/2015,80.3,46.7,63,43,79.2,0,0,0,17.2,200.17,26.4,9.9,1.1,46.94,Clear
Abilene,01/29/2015,62.4,47.6,54.7,44.1,,0,0,0,21.1,90.04,29.1,9.9,20.4,52.11,Clear
Abilene,01/30/2015,51.1,42.1,46,36.2,,0,0,0,13.9,82.13,,9.9,66.6,54.63,Partially cloudy
Abilene,01/31/2015,53.1,44,48.4,37.6,,0.31,0,0,17.7,157.96,19.7,8.5,92.1,82.78,"Rain, Overcast"
Abilene,02/01/2015,54.3,35.9,48.1,26.7,,0,0,0,24.4,139.04,34.4,9.9,63.1,75.37,Partially cloudy
Abilene,02/02/2015,48.7,24.9,35.3,17.8,,0,0,0,12.8,134.38,21.9,9.9,0,55.23,Clear
Abilene,02/03/2015,55.8,35.7,45.3,29.1,,0,0,0,20.5,169.04,29.1,9.9,1.9,63.26,Clear
Abilene,02/04/2015,64.7,31,46,19.2,,0,0,0,29.6,155.13,40.2,9.5,65.4,77.75,Partially cloudy
Abilene,02/05/2015,38.5,27.1,31.5,15.3,,0,0,0,21.1,203.17,25.3,9.8,82.6,75.51,Overcast
Abilene,02/06/2015,63.5,28.8,45.6,22.1,,0,0,0,18,188.21,24.2,9.9,0,69.66,Clear
Abilene,02/07/2015,75.8,43.1,57.6,35.7,,0,0,0,23.4,198.33,32,9.5,0.8,64.06,Clear
Abilene,02/08/2015,77,49.3,60.7,45.9,,0,0,0,23.6,161.13,34.6,9.9,0,49.32,Clear
Abilene,02/09/2015,77.4,39,56.9,36.8,,0,0,0,8.4,166.13,,9.9,0,49.78,Clear
Abilene,02/10/2015,83.1,53.3,65.8,,80.8,0,0,0,25.4,185.25,36,9.9,0,39.03,Clear
Abilene,02/11/2015,65.6,45.3,54.2,38.9,,0,0,0,24.4,128.25,33.5,9.9,30.1,57.06,Partially cloudy
Abilene,02/12/2015,54.9,38.9,45.8,32.8,,0,0,0,16.8,52.04,25.3,9.9,38.1,41.95,Partially cloudy
Abilene,02/13/2015,70.8,37.6,52,31.7,,0,0,0,12.9,200.21,23,9.9,4.4,50.9,Clear
Abilene,02/14/2015,76,42.8,57.9,40.5,,0,0,0,12,212.71,16.1,9.9,0,55.99,Clear
Abilene,02/15/2015,69.2,34.5,57.9,24.2,,0,0,0,24,188.92,30.3,9.9,53.6,71.68,Partially cloudy
Abilene,02/16/2015,42.1,25.3,32.8,11.6,,0,0,0,21.1,241.79,36.7,9.2,48.3,70.62,Partially cloudy
Abilene,02/17/2015,52.4,32.1,41.1,26.9,,0,0,0,16.3,263.58,26.2,9.9,56.5,57.04,Partially cloudy
Abilene,02/18/2015,63,30.1,45.5,23.5,,0,0,0,13.5,165.58,20.8,9.9,0,55.57,Clear
Abilene,02/19/2015,70.1,38,53.2,31.8,,0,0,0,23.1,169,32,9.9,0,48.76,Clear
Abilene,02/20/2015,80.3,53.1,64.5,,79.2,0,0,0,24.8,192.54,37.8,9.9,9.6,54.56,Clear
Abilene,02/21/2015,65.5,46,53.7,39.4,,0,0,0,20.8,217.04,35.6,9.6,37.4,63.81,Partially cloudy
Abilene,02/22/2015,46.8,23.8,36.4,10.9,,0.94,0.74,0.74,26,81.21,33.5,6.8,81.5,88.5,"Snow, Overcast"
Abilene,02/23/2015,23.9,21.3,21.9,8.9,,0.07,0.44,1.18,14.8,139.71,19.7,5.9,98.6,90.07,"Snow, Overcast"
Abilene,02/24/2015,36.6,21.8,29.4,12.9,,0.01,0,0.39,7.4,245.08,,9,75.5,81.98,"Rain, Overcast"
Abilene,02/25/2015,62.1,33.4,45.2,27.2,,0.18,0,0,13.2,231.29,21.9,9.5,27.9,65.72,"Rain, Partially cloudy"
Abilene,02/26/2015,44,25.2,31.6,11.8,,0.07,0.89,0.89,20.5,61.83,31.4,7.7,85.7,74.26,"Snow, Overcast"
Abilene,02/27/2015,26.3,19.1,21.6,8.6,,0.13,0.54,1.43,11.1,51.13,19.7,5.2,84.3,80.67,"Snow, Overcast"
Abilene,02/28/2015,28.2,19.9,24.2,11.3,,0.01,0,0.48,6.6,60.54,,4.4,87,92.63,"Rain, Overcast"
Abilene,03/01/2015,32,28.8,30.4,22,,0,0,0,10.2,89.71,,4.2,98.6,93.76,Overcast
Abilene,03/02/2015,37.9,29.9,33.6,21.5,,0.01,0,0,10.7,100.92,,5.4,100,90.01,"Rain, Overcast"
Abilene,03/03/2015,58,37.3,48.5,31.5,,0,0.74,0.74,15.6,203.38,18.3,9,79.8,85.22,"Snow, Overcast"
Abilene,03/04/2015,52,23.2,38.4,8.8,,0.36,0.7,1.18,22.7,80.21,35.6,5.3,99.2,92.65,"Snow, Overcast"
Abilene,03/05/2015,40.4,20,29.2,8.2,,0,0.54,1.18,20.4,161.21,30,9.9,15.8,67.79,Snow
Abilene,03/06/2015,54.2,25.8,38.5,17.5,,0,0,0.39,13.1,183.46,19.6,9.9,0,56.63,Clear
Abilene,03/07/2015,58.3,33.5,46.1,26.4,,0,0,0,11.1,158.83,17.2,9.9,54.7,53.76,Partially cloudy
Abilene,03/08/2015,60.2,45,51,41.2,,0.03,0,0,12.8,167.75,,9.9,55.4,71.25,"Rain, Partially cloudy"
Abilene,03/09/2015,52,47.2,49,43.8,,0.59,0,0,12.7,121.25,19.7,5,94,95.26,"Rain, Overcast"
Abilene,03/10/2015,62,46.6,51.9,44.2,,0,0,0,10.7,222.17,,9.2,63.1,83.78,Partially cloudy
Abilene,03/11/2015,69.2,37.2,52.7,34.6,,0,0,0,10.4,128.75,19.7,7.2,11.6,72.64,Clear
Abilene,03/12/2015,69.4,38.3,55.3,35.6,,0,0,0,8.8,161.96,,9.9,5.9,64.17,Clear
Abilene,03/13/2015,70.8,41.1,56.9,38.3,,0,0,0,14.7,167,21.9,9.9,14.2,60.1,Clear
Abilene,03/14/2015,69.2,49.3,58.5,,,0,0,0,20.2,133.83,29.1,9.9,37.1,53.94,Partially cloudy
Abilene,03/15/2015,68.6,39.8,54.6,36.4,,0,0,0,6.9,260.96,,9.9,1.3,57.43,Clear
